"x","y","slope240","descape240","wolfuse","Prob","CumProb"
531783.78694287,4984833.9525786,0.723220704529116,0,0,0.00247076761655317,0.168826176206395
529383.78694287,4985073.9525786,0.82925964054637,0,0,0.00247024540085434,0.171296421607249
530823.78694287,4982433.9525786,0.482746340762042,0,0,0.00245285249743088,0.17374927410468
531303.78694287,4985073.9525786,0.712437095614666,0,0,0.00245018454472818,0.176199458649408
529383.78694287,4983873.9525786,0.598849748382459,0,0.000611897103099924,0.00243839615594601,0.178637854805354
531303.78694287,4983633.9525786,0.393242271746945,0,0,0.00242691599519074,0.181064770800545
532023.78694287,4983153.9525786,0.576204284687275,0,0,0.00242291202581364,0.183487682826358
532023.78694287,4982193.9525786,0.705966930265996,0,0,0.00241166297528929,0.185899345801648
531783.78694287,4984113.9525786,0.733285406182602,0.0115305265814266,0,0.00240062822456841,0.188299974026216
531783.78694287,4983633.9525786,0.530913127246585,0.00197152590847914,0,0.00238927366923489,0.190689247695451
529623.78694287,4985073.9525786,0.760603882099209,0,0,0.00238097931563013,0.193070227011081
529863.78694287,4983153.9525786,0.467289719626168,0,0.0098727215655557,0.00237239563067527,0.195442622641756
528903.78694287,4984353.9525786,0.77138749101366,0,0,0.0023676561231839,0.197810278764940
528903.78694287,4984593.9525786,0.810568051761323,0,0,0.0023663686242634,0.200176647389204
530583.78694287,4983873.9525786,0.339324227174694,0,0,0.00235962429395688,0.202536271683161
531543.78694287,4984113.9525786,0.488856937455068,0,0,0.0023496576352326,0.204885929318393
529863.78694287,4984593.9525786,0.580517728253055,0,0,0.00231776585926457,0.207203695177658
529863.78694287,4982673.9525786,0.570453026599569,0,0.0279840705772922,0.00230759530012873,0.209511290477786
530343.78694287,4985313.9525786,0.726096333572969,0,0,0.00230721677985172,0.211818507257638
530823.78694287,4982913.9525786,0.383896477354421,0.0038051564602961,0,0.00229814408384877,0.214116651341487
530103.78694287,4985313.9525786,0.740115140186916,0,0,0.00229148996868324,0.216408141310170
530583.78694287,4985313.9525786,0.710999281092739,0,0,0.00228692297174821,0.218695064281918
530823.78694287,4985553.9525786,0.784327821710999,0,0,0.00227546885295695,0.220970533134875
531783.78694287,4982913.9525786,0.489935413371675,0,0,0.00227194896074228,0.223242482095618
531063.78694287,4985073.9525786,0.639108554996406,0,0,0.00225785776892585,0.225500339864543
530823.78694287,4983633.9525786,0.263838964773544,0,0,0.00225405935225318,0.227754399216797
532263.78694287,4982193.9525786,0.715312724658519,0,0,0.00223910232658443,0.229993501543381
531063.78694287,4983873.9525786,0.326024557872034,0,0,0.0022274642645136,0.232220965807895
530823.78694287,4983393.9525786,0.231847706685838,0,0,0.00222629534395598,0.234447261151851
530583.78694287,4983633.9525786,0.255571646297628,0,0,0.00222601533558752,0.236673276487438
531063.78694287,4985313.9525786,0.695902228612509,0,0,0.00220196045911867,0.238875236946557
531303.78694287,4983873.9525786,0.355140186915888,0,0,0.00218859918997978,0.241063836136537
531783.78694287,4985073.9525786,0.702372393961179,0,0,0.00217559584320287,0.243239431979739
528903.78694287,4984833.9525786,0.80158159597412,0,0,0.00217320891553100,0.245412640895270
529383.78694287,4984113.9525786,0.580158159597412,0.00197152590847914,0,0.00217012571930521,0.247582766614576
529143.78694287,4985313.9525786,0.85118619698059,0,0,0.00215224940234546,0.249735016016921
