"x","y","forest240","rghasp240","wolfuse","Prob","CumProb"
531303.78694287,4984593.9525786,1,0.759384487205582,0,0.00317399357673207,0.0846569103254534
529863.78694287,4983633.9525786,1,0.712393470501164,0.000287467548642839,0.00307582803852021,0.0877327383639736
531303.78694287,4983153.9525786,1,0.691257130855765,0,0.00302055461602391,0.0907532929799975
532023.78694287,4983873.9525786,1,0.752397251210987,0,0.00301098903850274,0.0937642820185003
531063.78694287,4984113.9525786,1,0.700946562035341,0,0.00300804832455439,0.0967723303430547
530823.78694287,4985313.9525786,1,0.800357276684363,0,0.00297399404892744,0.0997463243919821
531303.78694287,4984113.9525786,1,0.706339135225193,0,0.00294950668346287,0.102695831075445
531543.78694287,4983633.9525786,1,0.699194336829142,0,0.00292072146618398,0.105616552541629
530103.78694287,4982913.9525786,1,0.700112137817627,0.00786197572069731,0.00291333925960764,0.108529891801237
532263.78694287,4982913.9525786,1,0.761585108745926,0,0.00285696618843086,0.111386857989667
531303.78694287,4984353.9525786,1,0.712874035825607,0,0.00283965434028297,0.114226512329950
532503.78694287,4982193.9525786,1,0.815756375386723,0,0.00283726731816395,0.117063779648114
530103.78694287,4982673.9525786,1,0.71308214949753,0.0143564084140988,0.00282542804322757,0.119889207691342
530583.78694287,4984113.9525786,1,0.677811805931467,0,0.0028054885377585,0.122694696229100
529863.78694287,4982673.9525786,1,0.74039821783006,0.0279840705772922,0.00279836844990377,0.125493064679004
529383.78694287,4983873.9525786,1,0.733428707605628,0.000611897103099924,0.00278583054315937,0.128278895222164
530103.78694287,4984593.9525786,0.90625,0.763999096038242,0,0.00276746364046215,0.131046358862626
530583.78694287,4983873.9525786,1,0.654659980567435,0,0.00272491981809487,0.133771278680721
530823.78694287,4983393.9525786,1,0.634755910203428,0,0.00271116056771188,0.136482439248432
529863.78694287,4983153.9525786,1,0.691904449721749,0.0098727215655557,0.00270841650820787,0.139190855756640
529623.78694287,4985313.9525786,1,0.807014944655911,0,0.00270745685859935,0.141898312615240
529863.78694287,4982913.9525786,1,0.706916864030534,0.0168877654603809,0.00270055866260879,0.144598871277848
530823.78694287,4985073.9525786,1,0.750697546805274,0,0.00269143138022938,0.147290302658078
529863.78694287,4985073.9525786,1,0.769639173500383,0,0.00268164230161911,0.149971944959697
530823.78694287,4983873.9525786,1,0.65041695639821,0,0.00267899047695975,0.152650935436657
530103.78694287,4982433.9525786,1,0.719260565164648,0.0190083167626828,0.00265653837303887,0.155307473809696
531543.78694287,4983153.9525786,1,0.674921192374744,0,0.00264819772115597,0.157955671530852
529623.78694287,4983633.9525786,1,0.694230464673252,0.00149316199688697,0.00263817872078153,0.160593850251633
532263.78694287,4982433.9525786,1,0.761895637978797,0,0.00263749710324404,0.163231347354877
530583.78694287,4984593.9525786,0.96875,0.713375609470243,0,0.00263485781788032,0.165866205172757
531783.78694287,4984833.9525786,1,0.756728247721026,0,0.00262898150243753,0.168495186675195
530343.78694287,4983633.9525786,1,0.641121431222275,0,0.00261915026694586,0.171114336942141
529863.78694287,4983873.9525786,1,0.677208473235889,5.76429047618362e-06,0.00260058780852111,0.173714924750662
531303.78694287,4983873.9525786,1,0.660589578942252,0,0.00258770223854906,0.176302626989211
531063.78694287,4983153.9525786,0.859375,0.694923082729655,0,0.00256271622180977,0.178865343211021
531063.78694287,4983873.9525786,1,0.645682862744444,0,0.00255771376898836,0.181423056980009
531063.78694287,4983393.9525786,1,0.630025099099693,0,0.00254429719777805,0.183967354177787
530823.78694287,4984113.9525786,1,0.652859173620787,0,0.00253998504308015,0.186507339220867
530103.78694287,4983393.9525786,1,0.645077560518848,0.000917896446513396,0.00253747482698682,0.189044814047854
529383.78694287,4985073.9525786,1,0.781490492129945,0,0.00251758232270648,0.191562396370561
530343.78694287,4984593.9525786,0.671875,0.829277198961719,0,0.00251071258647787,0.194073108957038
531783.78694287,4982913.9525786,1,0.685483125352386,0,0.00249426143529164,0.19656737039233
532503.78694287,4982673.9525786,1,0.755520269309858,0,0.00246045170751401,0.199027822099844
530103.78694287,4984113.9525786,1,0.658336436601423,0,0.00243733224169544,0.201465154341540
530583.78694287,4982913.9525786,1,0.62695919737135,3.98353638079715e-06,0.00243122442538069,0.203896378766920
532023.78694287,4982913.9525786,1,0.698671098354305,0,0.00242641080064061,0.206322789567561
