f111	x	y	elev240	slope240	forest240	dtree240	dhigh240	descape240	rghasp240	amuse	elkuse	wolfuse	road240
1	534183.78694287	5000913.9525786	2759.234	25.04688	32	23.91344	11.5579	11.5579	1.070512	0.001261015	12063.42	0	0
1	534423.78694287	5000913.9525786	2780.125	24.84375	27	26.01283	9.6829	9.6829	1.057038	0.001432	11870.29	0	0
1	534663.78694287	5000913.9525786	2711.641	27.85938	34	29.9214	4.881662	4.881662	1.121698	0.001681576	12547.3	0	0
1	534903.78694287	5000913.9525786	2596.344	27.48438	58	2.8125	24.74519	2.8125	1.152651	0.001904659	12650.43	0	0
1	535143.78694287	5000913.9525786	2497.156	13.53125	64	0	190.1997	0	0.9489583	0.002028509	13887.68	0	0
1	535383.78694287	5000913.9525786	2481.906	7.140625	64	0	187.8033	0	0.8850844	0.002163496	13457.76	0	0
1	535623.78694287	5000913.9525786	2538.266	21.98438	64	0	10.97541	0	0.8976787	0.002225677	12774.89	0	0
1	535863.78694287	5000913.9525786	2662.797	26.85938	64	0	27.19777	0	0.9713025	0.002223101	10275.27	0	0
1	536103.78694287	5000913.9525786	2765.813	25.23438	64	0	0.46875	0	0.9927891	0.002153494	12592.23	0	0
1	536343.78694287	5000913.9525786	2905.516	34	63	0.46875	9.324807	0.46875	1.328035	0.002012127	14970.92	0	0
1	536583.78694287	5000913.9525786	2982.406	28.60938	9	74.01951	23.56968	23.56968	1.309272	0.001884905	16769.81	0	0
1	536823.78694287	5000913.9525786	3027.563	26.26563	0	265.931	27.4524	27.4524	1.118436	0.001658363	17465.35	0	0
1	537063.78694287	5000913.9525786	2921.859	22.90625	0	381.6839	16.35606	16.35606	0.9149672	0.001407333	18529.34	0	0
1	537303.78694287	5000913.9525786	2828.844	14.95313	0	177.7218	43.60585	43.60585	0.9558302	0.001236425	19823.76	0	0
1	537543.78694287	5000913.9525786	2749.25	19.625	31	27.53497	85.45667	27.53497	0.9189228	0.0009880152	20681.56	0	0
1	537783.78694287	5000913.9525786	2693.516	12.8125	64	0	243.3026	0	0.96952	0.000761529	19482.36	0	0
1	538023.78694287	5000913.9525786	2668.125	12.59375	36	17.1829	253.7485	17.1829	0.7706649	0.0006274722	19847.45	0	0
1	538263.78694287	5000913.9525786	2664.984	15.01563	46	11.03588	184.3539	11.03588	0.584155	0.0004554029	19337.32	0	0
1	538503.78694287	5000913.9525786	2657.438	16.54688	39	12.88373	101.1593	12.88373	0.8676612	0.0003188043	19838.29	0	0
1	538743.78694287	5000913.9525786	2669.766	15.125	52	9.244383	184.9379	9.244383	1.030132	0.0002463595	19667.19	0	0
1	538983.78694287	5000913.9525786	2674.719	14.01563	59	3.006663	174.5723	3.006663	0.8127716	0.0001623963	19169.62	0	0
1	539223.78694287	5000913.9525786	2746.594	19.5	64	0	42.38672	0	0.9158046	0.0001032548	18747.48	0	0
1	539463.78694287	5000913.9525786	2835.156	22.34375	64	0	8.162912	0	0.9405262	7.483285e-005	20002.96	0	0
1	539703.78694287	5000913.9525786	2933.891	19.46875	32	29.67452	52.27163	29.67452	1.075844	4.480276e-005	21849.33	0	0
1	539943.78694287	5000913.9525786	2963.375	13.15625	0	225.0132	171.2899	171.2899	0.9213811	2.587285e-005	24173.53	0	0
1	540183.78694287	5000913.9525786	2947.922	11.46875	0	390.396	167.5573	167.5573	0.870519	0	24454.03	0	0
1	540423.78694287	5000913.9525786	2936.156	17.17188	0	349.073	49.22205	49.22205	1.05931	0	22311.13	0	0
1	540663.78694287	5000913.9525786	2917.5	27	0	235.8461	5.544575	5.544575	0.9694369	0	19082.51	0	0
1	540903.78694287	5000913.9525786	2892.078	24.32813	5	78.51774	21.62296	21.62296	1.129427	0	19948.52	0	0
1	541143.78694287	5000913.9525786	2844.438	16.78125	41	12.52563	196.6111	12.52563	0.8955437	0	22346.19	0	0
1	541383.78694287	5000913.9525786	2822.203	9.59375	28	35.88644	309.9728	35.88644	0.8137864	0	26170.85	0	0
1	541623.78694287	5000913.9525786	2801.328	7.90625	58	3.006663	204.2378	3.006663	0.8703439	0	26877.71	0	0
1	541863.78694287	5000913.9525786	2797.766	9.5625	56	5.186482	210.7993	5.186482	0.8537872	0	25347.3	0	0
1	542103.78694287	5000913.9525786	2789.797	12.45313	51	7.80482	177.7193	7.80482	0.9399178	0	21901.48	0	0
