"x","y","elev240","slope240","forest240","Prob","CumProb"
531783.78694287,4985073.9525786,0.196986522841247,0.702372393961179,1,0.00242061513634708,0.184168728578045
532263.78694287,4982193.9525786,0.229926235416496,0.715312724658519,1,0.00241626343872949,0.186584992016775
529383.78694287,4984113.9525786,0.080380149970927,0.580158159597412,0.921875,0.0024014520977745,0.188986444114549
532023.78694287,4982193.9525786,0.306048720511586,0.705966930265996,1,0.00239548953781304,0.191381933652362
530823.78694287,4983873.9525786,0.310653534601774,0.420920316319195,1,0.00239450370800458,0.193776437360367
531063.78694287,4985313.9525786,0.217893168066465,0.695902228612509,1,0.00239397161520296,0.19617040897557
530583.78694287,4985313.9525786,0.261941655500958,0.710999281092739,1,0.00238494563164826,0.198555354607218
530103.78694287,4982673.9525786,0.394097600107536,0.551042530553559,1,0.00237174919239421,0.200927103799612
532023.78694287,4984833.9525786,0.192756605238315,0.673975672178289,1,0.00236133390257639,0.203288437702189
530343.78694287,4985313.9525786,0.285411532136583,0.726096333572969,1,0.00236040288992467,0.205648840592113
532743.78694287,4982193.9525786,0.201215823838114,0.782530668583753,1,0.00231878090827649,0.20796762150039
530343.78694287,4984593.9525786,0.0946780113961133,0.744069015097052,0.671875,0.00231408229716440,0.210281703797554
530823.78694287,4985553.9525786,0.312792541039758,0.784327821710999,1,0.00230729267520741,0.212588996472762
529383.78694287,4985313.9525786,0.210079536016269,0.768152523364486,1,0.00229459687118636,0.214883593343948
530343.78694287,4983633.9525786,0.275410798375366,0.364845549964055,1,0.00229272655624218,0.217176319900190
529863.78694287,4982673.9525786,0.400215565480173,0.570453026599569,1,0.00229086473255875,0.219467184632749
531783.78694287,4983633.9525786,0.207873319517247,0.530913127246585,0.921875,0.0022804777904833,0.221747662423232
529863.78694287,4983153.9525786,0.315692439361418,0.467289719626168,1,0.0022744330476315,0.224022095470864
529623.78694287,4983873.9525786,0.160259615817425,0.443925348670022,1,0.00227392514873560,0.226296020619599
530343.78694287,4983393.9525786,0.285112478195268,0.383896477354421,0.96875,0.00227330344093046,0.228569324060530
532023.78694287,4984593.9525786,0.124458234496520,0.578001437814522,0.984375,0.00225250863523571,0.230821832695766
531543.78694287,4984113.9525786,0.279765887009405,0.488856937455068,1,0.00224914742672766,0.233070980122493
528663.78694287,4985073.9525786,0.148293758528433,0.808770668583753,1,0.00224579983035118,0.235316779952844
532743.78694287,4982913.9525786,0.131857507271327,0.70848322070453,0.9375,0.00224538816681461,0.237562168119659
531303.78694287,4983153.9525786,0.379867565349452,0.451114421279655,1,0.00224269620398542,0.239804864323644
530583.78694287,4982673.9525786,0.349981902612005,0.446441409058231,1,0.00222620049697260,0.242031064820617
532023.78694287,4983873.9525786,0.207140791512541,0.509345909417685,1,0.00222232309520763,0.244253387915825
532503.78694287,4982913.9525786,0.218364871705859,0.629762760603882,1,0.00221759046966105,0.246470978385486
530343.78694287,4982673.9525786,0.370984738383296,0.465492566498922,1,0.00219730019910535,0.248668278584591
532503.78694287,4983873.9525786,0.168150323625693,0.592379583033789,1,0.00218898489250548,0.250857263477097
532503.78694287,4982673.9525786,0.218789096678281,0.640187030913012,1,0.00218118772696872,0.253038451204065
532743.78694287,4983633.9525786,0.123282366731390,0.611430740474479,1,0.00216742915301342,0.255205880357079
530583.78694287,4983873.9525786,0.280497798408046,0.339324227174694,1,0.00214808661381448,0.257353966970893
531303.78694287,4985313.9525786,0.228394585952111,0.653127361610352,1,0.00214785729671335,0.259501824267607
531063.78694287,4985553.9525786,0.306973629608437,0.744428583752696,1,0.00214268288368427,0.261644507151291
529863.78694287,4985073.9525786,0.257702488807058,0.630481667864845,1,0.00213196320821332,0.263776470359504
530823.78694287,4982433.9525786,0.375850376838796,0.482746340762042,1,0.00212590912229173,0.265902379481796
532023.78694287,4981953.9525786,0.246459293825738,0.643781567217829,1,0.00212025895202963,0.268022638433825
531303.78694287,4983633.9525786,0.344682790093114,0.393242271746945,1,0.00210774584299031,0.270130384276816
532023.78694287,4984353.9525786,0.103676143696344,0.664270309130122,0.796875,0.00209836195493478,0.272228746231750
533223.78694287,4983873.9525786,0.202478016452283,0.777857656362329,1,0.00209514075251219,0.274323886984263
532743.78694287,4982673.9525786,0.141694223819369,0.631560143781452,1,0.00209300063521355,0.276416887619476
529863.78694287,4982433.9525786,0.372131009057326,0.539180445722502,1,0.00209180712289683,0.278508694742373
531543.78694287,4985073.9525786,0.171425735040674,0.567577397555715,1,0.00208304499701501,0.280591739739388
532023.78694287,4985073.9525786,0.255178720184785,0.681883652048886,1,0.00207506071537233,0.282666800454760
528663.78694287,4984353.9525786,0.276528705170427,0.725377426312006,1,0.00207081256437636,0.284737613019137
529383.78694287,4984833.9525786,0.086873628436885,0.594176966211359,0.9375,0.00206862351753405,0.286806236536671
532263.78694287,4982673.9525786,0.28017962967873,0.582314881380302,1,0.00205175162664402,0.288857988163315
528903.78694287,4985553.9525786,0.134545293106776,0.79475209202013,1,0.00204649989728536,0.2909044880606
529623.78694287,4983153.9525786,0.287694824393676,0.437095614665708,1,0.00204137840093369,0.292945866461534
529623.78694287,4982913.9525786,0.328092387319866,0.469446441409058,1,0.00201396245527256,0.294959828916806
