"x","y","elev240","descape240","rghasp240","Prob","CumProb"
533223.78694287,4982433.9525786,0.135701429477839,0,0.777103035759384,0.00167863576323115,0.349956574279025
532263.78694287,4983633.9525786,0.211967583785973,0,0.623629969479572,0.00167804575333449,0.351634620032359
531543.78694287,4984593.9525786,0.105237390251828,0.00726081931359354,0.634784140133689,0.00167640564305165,0.353311025675411
531543.78694287,4985313.9525786,0.238886754746788,0,0.70815175935195,0.00166696749365379,0.354977993169065
532023.78694287,4982433.9525786,0.346908121380137,0,0.674440627050301,0.00166475838770111,0.356642751556766
531063.78694287,4982913.9525786,0.385677227689805,0.0155218455585464,0.688824104773272,0.00166187343523299,0.358304624991999
532983.78694287,4982673.9525786,0.133003777945358,0.000788610363391655,0.725186880989435,0.00164658180677520,0.359951206798774
529383.78694287,4983153.9525786,0.257162958500562,0,0.59771975167404,0.00164250109112363,0.361593707889898
531783.78694287,4982193.9525786,0.354432565186052,0.00292346315612382,0.691905762741761,0.00162419067345059,0.363217898563348
532263.78694287,4982193.9525786,0.229926235416496,0,0.677917504042444,0.00162269648317666,0.364840595046525
531543.78694287,4985073.9525786,0.171425735040674,0,0.64242000801428,0.00162124255989206,0.366461837606417
532263.78694287,4984353.9525786,0.101104279801034,0.00473166218034993,0.653469727926431,0.00161758697972876,0.368079424586146
530583.78694287,4985553.9525786,0.350588642979539,0,0.745148724233976,0.00161546453097329,0.369694889117119
529143.78694287,4983153.9525786,0.279447718280088,0.000788610363391655,0.639965973611593,0.00161459404506037,0.371309483162179
532983.78694287,4982433.9525786,0.185684750283793,0,0.742675651041114,0.00161358291423325,0.372923066076413
530343.78694287,4985553.9525786,0.362987974331923,0,0.750520945613641,0.00160135908986375,0.374524425166276
528903.78694287,4984593.9525786,0.160596899334744,0,0.678490637277742,0.00159637574602089,0.376120800912297
528423.78694287,4985553.9525786,0.105950186862468,0.00712551564602961,0.88804075309497,0.00159193519628865,0.377712736108586
529143.78694287,4984353.9525786,0.0930304399915895,0,0.601839155009122,0.00158493077902999,0.379297666887616
529143.78694287,4983393.9525786,0.244657570905073,0,0.612030816343341,0.00158368136595452,0.380881348253570
529623.78694287,4982433.9525786,0.340472603884248,0,0.627867150709743,0.00158271244655358,0.382464060700124
