"x","y","elev240","slope240","descape240","Prob","CumProb"
528903.78694287,4984593.9525786,0.160596899334744,0.810568051761323,0,0.00230532541844478,0.169315544002742
530103.78694287,4982673.9525786,0.394097600107536,0.551042530553559,0,0.00229239350913842,0.171607937511881
528903.78694287,4984353.9525786,0.181060204799538,0.77138749101366,0,0.00228129573503232,0.173889233246913
532023.78694287,4983153.9525786,0.250813765853713,0.576204284687275,0,0.00227867618482230,0.176167909431735
531303.78694287,4983153.9525786,0.379867565349452,0.451114421279655,0,0.00227750240915774,0.178445411840893
530583.78694287,4983873.9525786,0.280497798408046,0.339324227174694,0,0.00227710396844672,0.18072251580934
529863.78694287,4983153.9525786,0.315692439361418,0.467289719626168,0,0.00226294236201314,0.182985458171353
530583.78694287,4982673.9525786,0.349981902612005,0.446441409058231,0,0.00225098669540711,0.18523644486676
532023.78694287,4984353.9525786,0.103676143696344,0.664270309130122,0.00545262028936743,0.00224483362227439,0.187481278489035
531783.78694287,4984113.9525786,0.204491235253095,0.733285406182602,0.0115305265814266,0.00223759522725398,0.189718873716289
529623.78694287,4983873.9525786,0.160259615817425,0.443925348670022,0,0.00223007879461607,0.191948952510905
532263.78694287,4982433.9525786,0.274071530003126,0.744787922358016,0,0.00222720725887348,0.194176159769778
529623.78694287,4985073.9525786,0.228635678923357,0.760603882099209,0,0.00220132096064564,0.196377480730424
530343.78694287,4982673.9525786,0.370984738383296,0.465492566498922,0,0.00220120596128333,0.198578686691707
531543.78694287,4984113.9525786,0.279765887009405,0.488856937455068,0,0.00219255776114831,0.200771244452855
529143.78694287,4984353.9525786,0.0930304399915895,0.604601006470165,0,0.00218917144144042,0.202960415894296
529863.78694287,4982673.9525786,0.400215565480173,0.570453026599569,0,0.00218248670388436,0.20514290259818
531303.78694287,4983633.9525786,0.344682790093114,0.393242271746945,0,0.00218184310601025,0.207324745704190
528903.78694287,4984833.9525786,0.137657303914647,0.80158159597412,0,0.00216797177237901,0.209492717476569
530583.78694287,4983633.9525786,0.298369508583465,0.255571646297628,0,0.00215576736512961,0.211648484841699
529143.78694287,4985313.9525786,0.128600594038283,0.85118619698059,0,0.00214484559356269,0.213793330435262
530823.78694287,4983633.9525786,0.320837400364168,0.263838964773544,0,0.00213496195134378,0.215928292386605
531543.78694287,4984593.9525786,0.105237390251828,0.598130841121495,0.00726081931359354,0.00211872408783098,0.218047016474436
532023.78694287,4983873.9525786,0.207140791512541,0.509345909417685,0,0.00211343533097538,0.220160451805412
530823.78694287,4983393.9525786,0.329440904783075,0.231847706685838,0,0.00211004283756606,0.222270494642978
530823.78694287,4982433.9525786,0.375850376838796,0.482746340762042,0,0.00210064182116865,0.224371136464146
532023.78694287,4982193.9525786,0.306048720511586,0.705966930265996,0,0.00210057565024792,0.226471712114394
530343.78694287,4983873.9525786,0.249060754812148,0.284687275341481,0,0.00209891603656051,0.228570628150955
531783.78694287,4985073.9525786,0.196986522841247,0.702372393961179,0,0.00209597421431386,0.230666602365269
532263.78694287,4982193.9525786,0.229926235416496,0.715312724658519,0,0.0020877831354162,0.232754385500685
531063.78694287,4985313.9525786,0.217893168066465,0.695902228612509,0,0.00208374348111565,0.234838128981801
530823.78694287,4982913.9525786,0.332273593043697,0.383896477354421,0.0038051564602961,0.00208359424090552,0.236921723222706
532023.78694287,4984593.9525786,0.124458234496520,0.578001437814522,0.000394305181695828,0.00207941155526996,0.239001134777976
530583.78694287,4985313.9525786,0.261941655500958,0.710999281092739,0,0.00207213309678167,0.241073267874758
532023.78694287,4984833.9525786,0.192756605238315,0.673975672178289,0,0.00206853454010751,0.243141802414865
