"x","y","elkuse","Prob","CumProb"
530583.78694287,4984593.9525786,0.0278776729812788,0.00227816012505287,0.0929469974743793
530823.78694287,4984593.9525786,0.0291616916883604,0.00227016508620444,0.0952171625605837
531303.78694287,4984353.9525786,0.0462261606116895,0.00226245884940100,0.0974796214099847
531303.78694287,4983873.9525786,0.124701676282639,0.00225482027061632,0.099734441680601
529623.78694287,4983873.9525786,0.0393138793071483,0.00223610998893951,0.101970551669541
531303.78694287,4983633.9525786,0.153962809573905,0.00222844593489080,0.104198997604431
531303.78694287,4984113.9525786,0.0950486728215884,0.00222099578358627,0.106419993388018
531063.78694287,4984593.9525786,0.0276892609887664,0.00221717974765544,0.108637173135673
529863.78694287,4983153.9525786,0.108006813832110,0.00221559888761713,0.110852772023290
529623.78694287,4983633.9525786,0.0591357289290529,0.00221439629054053,0.113067168313831
531063.78694287,4983153.9525786,0.198994003356161,0.00220731550548481,0.115274483819316
530343.78694287,4984593.9525786,0.0325617511065298,0.00218953083778967,0.117464014657105
529863.78694287,4984353.9525786,0.0272649702197151,0.00218945961709480,0.1196534742742
530103.78694287,4982913.9525786,0.134231498986401,0.00218811372479096,0.121841587998991
531303.78694287,4983393.9525786,0.169824689625656,0.00218719101105658,0.124028779010048
530583.78694287,4982673.9525786,0.144323909306359,0.00217183616327871,0.126200615173326
530823.78694287,4982673.9525786,0.150665279573348,0.00213531163905802,0.128335926812384
529623.78694287,4984113.9525786,0.0315517068352702,0.00213483542012356,0.130470762232508
531303.78694287,4984593.9525786,0.0223914323985643,0.00213390302760656,0.132604665260114
531063.78694287,4982913.9525786,0.180644933668312,0.00211843576023743,0.134723101020352
531543.78694287,4984353.9525786,0.040752637983984,0.00211104377024769,0.136834144790599
531543.78694287,4983873.9525786,0.112211829583442,0.00208348262591724,0.138917627416517
530103.78694287,4984593.9525786,0.0322143792278415,0.00208027561193075,0.140997903028447
531543.78694287,4984113.9525786,0.084509678932723,0.00207277637838437,0.143070679406832
531543.78694287,4983633.9525786,0.133804385238778,0.00207240341944950,0.145143082826281
529623.78694287,4983393.9525786,0.0901523183488884,0.00206891297472891,0.147211995801010
