"x","y","elev240","forest240","Prob","CumProb"
528903.78694287,4984353.9525786,0.181060204799538,1,0.00192502031266564,0.292049111372969
528903.78694287,4984113.9525786,0.206235613809756,1,0.00192180354296343,0.293970914915932
528903.78694287,4983873.9525786,0.224636988594638,1,0.00191963330757059,0.295890548223503
528903.78694287,4983633.9525786,0.237402583949374,1,0.00191278625634383,0.297803334479847
531783.78694287,4985073.9525786,0.196986522841247,1,0.00190704651202677,0.299710380991874
532743.78694287,4984353.9525786,0.133976782315245,1,0.00190233258810060,0.301612713579974
528903.78694287,4984593.9525786,0.160596899334744,1,0.00189140151273616,0.303504115092710
529863.78694287,4982673.9525786,0.400215565480173,1,0.00187656082850374,0.305380675921214
531063.78694287,4983153.9525786,0.361764627899821,0.859375,0.00187363966174914,0.307254315582963
531063.78694287,4985313.9525786,0.217893168066465,1,0.00187251012359041,0.309126825706554
532503.78694287,4982673.9525786,0.218789096678281,1,0.00187233239547891,0.310999158102033
530823.78694287,4985313.9525786,0.226159388968054,1,0.00186871316590518,0.312867871267938
531303.78694287,4984833.9525786,0.0855633405496796,0.796875,0.00186540791487287,0.314733279182811
532503.78694287,4982433.9525786,0.198903551095986,1,0.00185619056210456,0.316589469744915
529863.78694287,4982433.9525786,0.372131009057326,1,0.0018549425798373,0.318444412324753
528903.78694287,4984833.9525786,0.137657303914647,1,0.00184884901010723,0.32029326133486
529623.78694287,4982433.9525786,0.340472603884248,1,0.0018412391353,0.32213450047016
532263.78694287,4982673.9525786,0.28017962967873,1,0.00183939675122922,0.323973897221389
529143.78694287,4983153.9525786,0.279447718280088,0.96875,0.00183467151539528,0.325808568736784
532503.78694287,4984353.9525786,0.107481836326853,0.90625,0.00182055372558865,0.327629122462373
532743.78694287,4982433.9525786,0.156704265249130,1,0.00181972553626067,0.329448847998634
529383.78694287,4984353.9525786,0.0670170633396247,0.78125,0.00181440808792277,0.331263256086556
532263.78694287,4982193.9525786,0.229926235416496,1,0.00180994381092758,0.333073199897484
532743.78694287,4982913.9525786,0.131857507271327,0.9375,0.00180494933258406,0.334878149230068
528903.78694287,4983393.9525786,0.272896278844061,1,0.00180457702845973,0.336682726258528
529623.78694287,4985073.9525786,0.228635678923357,1,0.00180112010590632,0.338483846364434
529863.78694287,4985073.9525786,0.257702488807058,1,0.00179917642070535,0.340283022785139
531303.78694287,4985313.9525786,0.228394585952111,1,0.00179068187906073,0.3420737046642
530103.78694287,4982433.9525786,0.420708468036067,1,0.00179007377331143,0.343863778437512
532263.78694287,4982433.9525786,0.274071530003126,1,0.00177225280756489,0.345636031245076
532023.78694287,4981953.9525786,0.246459293825738,1,0.00176694835448555,0.347402979599562
531063.78694287,4984833.9525786,0.0803221890008576,0.75,0.00176647460528744,0.349169454204849
532023.78694287,4982673.9525786,0.350954906981892,1,0.00176500273158830,0.350934456936438
532503.78694287,4982193.9525786,0.197169038236359,1,0.00176157010084623,0.352696027037284
530583.78694287,4985313.9525786,0.261941655500958,1,0.00175104318009539,0.354447070217379
532023.78694287,4984353.9525786,0.103676143696344,0.796875,0.00175063776084993,0.356197707978229
532983.78694287,4983873.9525786,0.115709827652439,0.953125,0.00172682685989448,0.357924534838124
532263.78694287,4981953.9525786,0.219251551226707,1,0.00172255811243788,0.359647092950562
532983.78694287,4984113.9525786,0.157234546464658,1,0.00171118999149096,0.361358282942053
532023.78694287,4982193.9525786,0.306048720511586,1,0.00170565962507573,0.363063942567128
531543.78694287,4984833.9525786,0.0943308621817619,0.78125,0.00170256682798587,0.364766509395114
530343.78694287,4982433.9525786,0.417201212740808,0.953125,0.00170218728479507,0.366468696679909
531783.78694287,4984593.9525786,0.0893980136652236,0.765625,0.00170024725799436,0.368168943937904
528903.78694287,4985073.9525786,0.0920284551366677,0.953125,0.00169890751759707,0.369867851455501
533223.78694287,4982913.9525786,0.09792444232606,0.984375,0.00169764991699616,0.371565501372497
531543.78694287,4985313.9525786,0.238886754746788,1,0.00169222957336217,0.373257730945859
532023.78694287,4982433.9525786,0.346908121380137,1,0.00168732656573883,0.374945057511598
532023.78694287,4981713.9525786,0.227267430066082,1,0.00168676926220550,0.376631826773803
531783.78694287,4981953.9525786,0.309902508415131,1,0.00168162451939284,0.378313451293196
532983.78694287,4982673.9525786,0.133003777945358,0.96875,0.00167544586751082,0.379988897160707
532263.78694287,4984353.9525786,0.101104279801034,0.8125,0.00166944751403288,0.38165834467474
530343.78694287,4985313.9525786,0.285411532136583,1,0.00165633865980582,0.383314683334546
529143.78694287,4985313.9525786,0.128600594038283,0.96875,0.00163190333965044,0.384946586674196
529863.78694287,4982193.9525786,0.384983545867167,0.984375,0.00163172412072006,0.386578310794916
532023.78694287,4985073.9525786,0.255178720184785,1,0.0016121746029728,0.388190485397889
530343.78694287,4984593.9525786,0.0946780113961133,0.671875,0.00160753280651483,0.389798018204404
529383.78694287,4985313.9525786,0.210079536016269,1,0.00160316595751424,0.391401184161918
533223.78694287,4983633.9525786,0.157937477378265,1,0.00159812142980291,0.392999305591721
531543.78694287,4984593.9525786,0.105237390251828,0.71875,0.00159651267146619,0.394595818263187
532743.78694287,4982193.9525786,0.201215823838114,1,0.00159293476071155,0.396188753023899
532263.78694287,4984593.9525786,0.154613970690247,0.859375,0.00156996078883137,0.39775871381273
532983.78694287,4984353.9525786,0.183786836817055,1,0.00156871356001639,0.399327427372747
532983.78694287,4982433.9525786,0.185684750283793,1,0.00155882014785977,0.400886247520606
528663.78694287,4985073.9525786,0.148293758528433,1,0.0015460442234348,0.402432291744041
533463.78694287,4982913.9525786,0.105728825285288,1,0.00153988198270427,0.403972173726745
533463.78694287,4983153.9525786,0.116384394687076,1,0.00153408213985724,0.405506255866603
533223.78694287,4982433.9525786,0.135701429477839,1,0.00153404604230506,0.407040301908908
531783.78694287,4981713.9525786,0.281230326412752,0.96875,0.00152737597232799,0.408567677881236
532743.78694287,4983393.9525786,0.117771758332352,0.828125,0.00152393550420368,0.410091613385439
532503.78694287,4981953.9525786,0.250004778697000,1,0.00149938209403992,0.411590995479479
532983.78694287,4983153.9525786,0.101604963925462,0.859375,0.00149055355304097,0.41308154903252
529623.78694287,4985313.9525786,0.285305475893478,1,0.00148223586138566,0.414563784893906
531063.78694287,4982193.9525786,0.431441113195925,0.9375,0.00147944406685012,0.416043228960756
528663.78694287,4984833.9525786,0.213046644398966,1,0.00147327633373680,0.417516505294493
528663.78694287,4984353.9525786,0.276528705170427,1,0.00146890838735507,0.418985413681848
528903.78694287,4985553.9525786,0.134545293106776,1,0.00146019386134807,0.420445607543196
528663.78694287,4983633.9525786,0.260245988823398,0.9375,0.00145866761064109,0.421904275153837
533223.78694287,4983873.9525786,0.202478016452283,1,0.00145057484879231,0.423354850002629
528663.78694287,4984593.9525786,0.257962696566306,1,0.00144306361311894,0.424797913615748
530823.78694287,4985553.9525786,0.312792541039758,1,0.00143576586862695,0.426233679484375
531063.78694287,4985553.9525786,0.306973629608437,1,0.00143366085669781,0.427667340341073
532983.78694287,4984593.9525786,0.173439570447551,0.96875,0.00142977737664299,0.429097117717716
532503.78694287,4984113.9525786,0.108908046154197,0.765625,0.00142937067971749,0.430526488397434
529143.78694287,4984833.9525786,0.065379357632134,0.765625,0.00142860652296466,0.431955094920398
533463.78694287,4983393.9525786,0.163901291234760,1,0.00141475015694262,0.433369845077341
528663.78694287,4983393.9525786,0.300489400233447,0.953125,0.00140725876312049,0.434777103840461
528423.78694287,4983633.9525786,0.272761242115921,0.984375,0.00140678629955014,0.436183890140011
532743.78694287,4981953.9525786,0.236593596792662,1,0.00140450575964392,0.437588395899655
531783.78694287,4982673.9525786,0.382382084880758,0.875,0.00140341389098563,0.438991809790641
531303.78694287,4985553.9525786,0.306472328877943,1,0.00140125351226703,0.440393063302908
533223.78694287,4982193.9525786,0.161444732673524,1,0.00139721707391942,0.441790280376827
529863.78694287,4985313.9525786,0.327726123317513,0.984375,0.00139553767279837,0.443185818049626
532983.78694287,4982193.9525786,0.219955098746378,1,0.00139429702318461,0.444580115072810
531783.78694287,4982193.9525786,0.354432565186052,0.90625,0.00138727742506531,0.445967392497876
529143.78694287,4985553.9525786,0.203730343369419,1,0.00138394371349979,0.447351336211376
528423.78694287,4983393.9525786,0.304208151408852,1,0.00137853367482141,0.448729869886197
529143.78694287,4982193.9525786,0.329296618963966,0.953125,0.00137532219958653,0.450105192085784
