"x","y","descape240","Prob","CumProb"
529623.78694287,4984593.9525786,0,0.00183720993734318,0.249066450970248
529383.78694287,4984113.9525786,0.00197152590847914,0.00182383748430266,0.250890288454551
529143.78694287,4983153.9525786,0.000788610363391655,0.00181955834433445,0.252709846798885
529143.78694287,4983873.9525786,0,0.00181858276993508,0.25452842956882
532263.78694287,4983873.9525786,0,0.00181708659228544,0.256345516161106
532263.78694287,4982913.9525786,0,0.00181302549453223,0.258158541655638
532023.78694287,4982433.9525786,0,0.00181111574280443,0.259969657398442
529863.78694287,4984353.9525786,0.00607790376850606,0.00179281050555354,0.261762467903996
529863.78694287,4984833.9525786,0,0.0017914704164925,0.263553938320488
530583.78694287,4985073.9525786,0,0.00177706011583104,0.265330998436319
530823.78694287,4985073.9525786,0,0.00177694990497771,0.267107948341297
531063.78694287,4982913.9525786,0.0155218455585464,0.00177665970390659,0.268884608045204
530343.78694287,4985073.9525786,0,0.00174774329506155,0.270632351340265
531063.78694287,4985073.9525786,0,0.00174742287822933,0.272379774218495
529143.78694287,4984113.9525786,0,0.00174450253422861,0.274124276752723
532263.78694287,4984113.9525786,0,0.00174311965228424,0.275867396405007
532263.78694287,4982673.9525786,0,0.00173749385018082,0.277604890255188
530343.78694287,4984593.9525786,0.00814510430686407,0.00170274674193978,0.279307636997128
531303.78694287,4985073.9525786,0,0.00169113143739797,0.280998768434526
529623.78694287,4984353.9525786,0.00552027254374159,0.00168550296116531,0.282684271395691
532023.78694287,4982193.9525786,0,0.00168022252977067,0.284364493925462
529623.78694287,4984833.9525786,0,0.00167741824673902,0.286041912172201
531783.78694287,4984833.9525786,0,0.00167652734682991,0.287718439519031
528903.78694287,4983393.9525786,0,0.00167247127888309,0.289390910797914
531783.78694287,4982193.9525786,0.00292346315612382,0.00167149945135383,0.291062410249268
532503.78694287,4983393.9525786,0,0.00167099486052584,0.292733405109794
532023.78694287,4984593.9525786,0.000394305181695828,0.00166905417537580,0.294402459285169
531783.78694287,4981953.9525786,0,0.00166608216683658,0.296068541452006
528903.78694287,4983633.9525786,0,0.00166006966336069,0.297728611115367
532503.78694287,4983633.9525786,0,0.00165861299426690,0.299387224109634
532503.78694287,4983153.9525786,0,0.00165689757214145,0.301044121681775
529143.78694287,4984353.9525786,0,0.00164943563970340,0.302693557321478
532263.78694287,4982433.9525786,0,0.00164142212671584,0.304334979448194
530583.78694287,4983153.9525786,0.0219096147375505,0.00163999800354485,0.305974977451739
528903.78694287,4983873.9525786,0,0.00162218862157753,0.307597166073317
532503.78694287,4983873.9525786,0,0.00162079099355546,0.309217957066872
532503.78694287,4982913.9525786,0,0.00161750199765836,0.310835459064530
531303.78694287,4984833.9525786,0.00512596736204576,0.00161584968306237,0.312451308747593
529623.78694287,4982193.9525786,0.00410637786002692,0.00161374840420059,0.314065057151793
529863.78694287,4985073.9525786,0,0.00161333998428599,0.315678397136079
