"x","y","descape240","wolfuse","Prob","CumProb"
531543.78694287,4985073.9525786,0,0,0.00204119155603482,0.215579436097894
532503.78694287,4983873.9525786,0,0.00420653677964467,0.00203977808703234,0.217619214184927
532023.78694287,4984833.9525786,0,4.65862828131277e-07,0.00203237159972857,0.219651585784655
531303.78694287,4984833.9525786,0.00512596736204576,0,0.00202896598940069,0.221680551774056
531783.78694287,4984593.9525786,0.00591457772543742,0,0.00202117250600995,0.223701724280066
531783.78694287,4982673.9525786,0.00433735699865411,0,0.00200649179169944,0.225708216071765
530583.78694287,4985073.9525786,0,0,0.00200038709018763,0.227708603161953
531783.78694287,4984113.9525786,0.0115305265814266,0,0.00199814201027366,0.229706745172227
532503.78694287,4983153.9525786,0,6.02196829090239e-05,0.00199735764105725,0.231704102813284
529863.78694287,4983153.9525786,0,0.0098727215655557,0.00198254374225931,0.233686646555543
530103.78694287,4984593.9525786,0.00252915797442799,0,0.00197524598120851,0.235661892536752
531063.78694287,4984833.9525786,0.00647220895020189,0,0.00196792985635593,0.237629822393108
529623.78694287,4983873.9525786,0,0.000159956645130821,0.00196250357363234,0.23959232596674
531783.78694287,4985073.9525786,0,0,0.00196023934111535,0.241552565307855
531543.78694287,4984833.9525786,0.00552027254374159,0,0.00195597644387622,0.243508541751731
529623.78694287,4983633.9525786,0,0.00149316199688697,0.00195584904482478,0.245464390796556
530103.78694287,4984833.9525786,0,0,0.00195308847994727,0.247417479276503
532263.78694287,4982673.9525786,0,0,0.00195054552148548,0.249368024797989
530823.78694287,4983153.9525786,0.0148482923956931,0,0.00193428296191132,0.251302307759900
529863.78694287,4984593.9525786,0,0,0.00193395369329904,0.253236261453199
532023.78694287,4982433.9525786,0,0,0.00193145999191009,0.255167721445109
530343.78694287,4985073.9525786,0,0,0.00190432966357857,0.257072051108688
532263.78694287,4984353.9525786,0.00473166218034993,0.000416417686943575,0.00190339286599269,0.258975443974681
532503.78694287,4982913.9525786,0,0,0.00190191047532546,0.260877354450006
531063.78694287,4982193.9525786,0.00157722072678331,0,0.00188992094714416,0.26276727539715
530343.78694287,4982433.9525786,0.00118291554508748,0.00439323917460162,0.00187983705934508,0.264647112456495
531063.78694287,4985313.9525786,0,0,0.00187531867942373,0.266522431135919
530103.78694287,4982673.9525786,0,0.0143564084140988,0.00187073285666629,0.268393163992585
531303.78694287,4985313.9525786,0,0,0.00186813438178475,0.27026129837437
529623.78694287,4984113.9525786,0.00118291554508748,0,0.00186344733211319,0.272124745706483
532263.78694287,4984833.9525786,0.000394305181695828,0.000611696815411353,0.00185950584627932,0.273984251552763
529623.78694287,4983393.9525786,0,0.00852995892014554,0.00185608772550545,0.275840339278268
532023.78694287,4985073.9525786,0,2.27238189721829e-05,0.00185343790425044,0.277693777182519
530823.78694287,4985313.9525786,0,0,0.00185083856687081,0.279544615749389
530343.78694287,4984593.9525786,0.00814510430686407,0,0.00183856028298688,0.281383176032376
531543.78694287,4985313.9525786,0,0,0.00182997134273092,0.283213147375107
529863.78694287,4982913.9525786,0,0.0168877654603809,0.00181199261537787,0.285025139990485
529863.78694287,4984833.9525786,0,0,0.00180024896859925,0.286825388959084
532263.78694287,4982433.9525786,0,0,0.00179783485054038,0.288623223809625
531063.78694287,4982433.9525786,0.00765512449528937,0,0.00179712555260771,0.290420349362232
530583.78694287,4985313.9525786,0,0,0.00179698829154586,0.292217337653778
531063.78694287,4982913.9525786,0.0155218455585464,0,0.00178638662259905,0.294003724276377
532503.78694287,4982673.9525786,0,0,0.00178485278253437,0.295788577058912
532263.78694287,4984593.9525786,0.00547805097577389,0.000361138284898078,0.00175543316526236,0.297544010224174
529623.78694287,4984593.9525786,0,0,0.00175520161226366,0.299299211836438
532503.78694287,4984353.9525786,0.00269248401749664,0.0073974839489072,0.00175291308566806,0.301052124922106
532023.78694287,4982193.9525786,0,0,0.00175289820547549,0.302805023127581
532743.78694287,4983633.9525786,0,0.0122172250291936,0.00175258379523331,0.304557606922814
529863.78694287,4984353.9525786,0.00607790376850606,0,0.00174650733890374,0.306304114261718
529383.78694287,4983873.9525786,0,0.000611897103099924,0.00174588426954452,0.308049998531263
529383.78694287,4983633.9525786,0,0.00368229779366768,0.00172286735331660,0.309772865884579
