"x","y","descape240","rghasp240","amuse","Prob","CumProb"
529623.78694287,4985313.9525786,0,0.807014944655911,0.326187303603362,0.00221741520058281,0.183068512096533
532263.78694287,4983873.9525786,0,0.710880214937174,0.566540975433529,0.00220418280586962,0.185272694902403
530343.78694287,4983633.9525786,0,0.641121431222275,0.509325640972335,0.00219789453195025,0.187470589434353
531063.78694287,4983633.9525786,0,0.577918622078984,0.574184043188726,0.00219480893697747,0.189665398371330
530823.78694287,4985553.9525786,0,0.772091894883058,0.401384421007708,0.00219115393970828,0.191856552311039
532023.78694287,4983393.9525786,0,0.676450860688885,0.556575372180332,0.00218848353057207,0.194045035841611
532023.78694287,4982913.9525786,0,0.698671098354305,0.514258234096359,0.00218392535166063,0.196228961193271
529863.78694287,4982913.9525786,0,0.706916864030534,0.394717281021304,0.00218057027573207,0.198409531469004
529863.78694287,4983153.9525786,0,0.691904449721749,0.414364887938937,0.0021520800454493,0.200561611514453
531783.78694287,4985073.9525786,0,0.74391054636253,0.517098544777159,0.00213977613044267,0.202701387644896
531063.78694287,4984353.9525786,0,0.634392203660066,0.575653426396885,0.00212844497165656,0.204829832616552
532503.78694287,4982673.9525786,0,0.755520269309858,0.459135182078389,0.00212771368036218,0.206957546296914
529863.78694287,4982433.9525786,0,0.726318704239899,0.326805495791312,0.00212522637500944,0.209082772671924
530343.78694287,4984833.9525786,0,0.704160835025056,0.4705070156576,0.00211575767607414,0.211198530347998
532263.78694287,4982673.9525786,0,0.727561477681388,0.475298397368133,0.00210207193216831,0.213300602280166
530343.78694287,4983153.9525786,0.00157722072678331,0.644847782016724,0.463361718134958,0.00207453823190123,0.215375140512067
532743.78694287,4982673.9525786,0,0.773260482693861,0.438455555080492,0.00206950920089362,0.217444649712961
529863.78694287,4985313.9525786,0.000394305181695828,0.772270465604709,0.356879996579546,0.0020633886537611,0.219508038366722
529383.78694287,4983873.9525786,0,0.733428707605628,0.397763132759518,0.00206055378681420,0.221568592153536
