"x","y","forest240","wolfuse","Prob","CumProb"
529863.78694287,4983393.9525786,1,0.00287628455538581,0.00279961240581299,0.103087128902457
530103.78694287,4982913.9525786,1,0.00786197572069731,0.00279544316525373,0.105882572067711
530103.78694287,4984113.9525786,1,0,0.00274782456730164,0.108630396635012
531303.78694287,4984113.9525786,1,0,0.00274668407603476,0.111377080711047
530583.78694287,4984353.9525786,1,0,0.00271874229509616,0.114095823006143
530823.78694287,4984353.9525786,1,0,0.00271852101091462,0.116814344017058
529863.78694287,4983873.9525786,1,5.76429047618362e-06,0.00271540951498512,0.119529753532043
531543.78694287,4983873.9525786,1,0,0.00271394433602897,0.122243697868072
530823.78694287,4982433.9525786,1,0,0.00270295307107772,0.124946650939150
530823.78694287,4982673.9525786,0.953125,0,0.00268640889485184,0.127633059834002
529863.78694287,4983153.9525786,1,0.0098727215655557,0.00267014328759792,0.130303203121600
531063.78694287,4984353.9525786,1,0,0.0026598242511285,0.132963027372728
531783.78694287,4983393.9525786,1,0,0.00259709981659974,0.135560127189328
529863.78694287,4984113.9525786,1,0,0.00257742010613402,0.138137547295462
531543.78694287,4984113.9525786,1,0,0.00257607923981133,0.140713626535273
531783.78694287,4983153.9525786,1,0,0.00256912205743266,0.143282748592706
530823.78694287,4982913.9525786,0.890625,0,0.00256586356290782,0.145848612155614
529623.78694287,4983633.9525786,1,0.00149316199688697,0.00255526790866540,0.148403880064279
531303.78694287,4984353.9525786,1,0,0.00255216482655206,0.150956044890831
530103.78694287,4982673.9525786,1,0.0143564084140988,0.00254815615488017,0.153504201045711
529623.78694287,4983873.9525786,1,0.000159956645130821,0.00249853932574652,0.156002740371458
531783.78694287,4982913.9525786,1,0,0.00249264004165184,0.158495380413110
529623.78694287,4983393.9525786,1,0.00852995892014554,0.00249144963271504,0.160986830045825
529863.78694287,4982913.9525786,1,0.0168877654603809,0.00249062393904283,0.163477453984868
531063.78694287,4983153.9525786,0.859375,0,0.00246133852814062,0.165938792513008
530343.78694287,4984353.9525786,0.953125,0,0.00243013608919153,0.168368928602200
531543.78694287,4984353.9525786,1,0,0.00240940593520416,0.170778334537404
530343.78694287,4982433.9525786,0.953125,0.00439323917460162,0.00236476675193871,0.173143101289343
532023.78694287,4983393.9525786,1,0,0.00236003116510299,0.175503132454446
531303.78694287,4984593.9525786,1,0,0.00234627858453819,0.177849411038984
532023.78694287,4983633.9525786,1,0,0.00234038466787926,0.180189795706863
532023.78694287,4983153.9525786,1,0,0.00233767841882836,0.182527474125691
530583.78694287,4984593.9525786,0.96875,0,0.00233519190372531,0.184862666029417
530103.78694287,4982433.9525786,1,0.0190083167626828,0.00231190229894951,0.187174568328366
529383.78694287,4983633.9525786,1,0.00368229779366768,0.00229977851486946,0.189474346843236
529623.78694287,4983153.9525786,1,0.0233354955572418,0.00229047858106142,0.191764825424297
532023.78694287,4983873.9525786,1,0,0.00228095033844148,0.194045775762739
532023.78694287,4982913.9525786,1,0,0.00227583485620135,0.19632161061894
529383.78694287,4983873.9525786,1,0.000611897103099924,0.00227564107661261,0.198597251695552
529863.78694287,4982673.9525786,1,0.0279840705772922,0.00223529268748585,0.200832544383038
529863.78694287,4984593.9525786,1,0,0.00222829931293502,0.203060843695973
531783.78694287,4983633.9525786,0.921875,0,0.00221215051702522,0.205272994212999
530343.78694287,4984833.9525786,1,0,0.00221062655299220,0.207483620765991
532023.78694287,4984113.9525786,1,0,0.00218785681748748,0.209671477583478
529383.78694287,4983393.9525786,1,0.0160760603656438,0.00218114984257427,0.211852627426053
532023.78694287,4982673.9525786,1,0,0.00218082305175413,0.214033450477807
529623.78694287,4984113.9525786,0.953125,0,0.00218061578759153,0.216214066265398
531063.78694287,4982193.9525786,0.9375,0,0.00214387793835148,0.218357944203750
530103.78694287,4984833.9525786,1,0,0.00213932433229673,0.220497268536046
532263.78694287,4983393.9525786,1,1.29212484935227e-06,0.0021314504167343,0.222628718952781
532263.78694287,4983633.9525786,1,6.75537832198946e-05,0.00211483282778168,0.224743551780562
532263.78694287,4983153.9525786,1,0,0.00211334180968081,0.226856893590243
529623.78694287,4984593.9525786,1,0,0.00208784689076685,0.22894474048101
529623.78694287,4982913.9525786,1,0.0360486162006966,0.00208673875330081,0.231031479234311
532263.78694287,4983873.9525786,1,0.000179974686861502,0.00206518070714013,0.233096659941451
529143.78694287,4983633.9525786,1,0.00517779528035237,0.00206359934195970,0.235160259283411
532263.78694287,4982913.9525786,1,0,0.00206282126121466,0.237223080544625
532023.78694287,4982433.9525786,1,0,0.00206084559558978,0.239283926140215
529143.78694287,4983873.9525786,1,0.00100099783873601,0.00205834330263972,0.241342269442855
529863.78694287,4984833.9525786,1,0,0.00204041246916788,0.243382681912023
