"x","y","slope240","descape240","amuse","Prob","CumProb"
532503.78694287,4982913.9525786,0.629762760603882,0,0.484930584783921,0.00188479372362064,0.309814120970415
531063.78694287,4983633.9525786,0.236161150251618,0,0.574184043188726,0.00187700957850572,0.311691130548921
532023.78694287,4984833.9525786,0.673975672178289,0,0.542240452441369,0.00187658193440147,0.313567712483323
532503.78694287,4982673.9525786,0.640187030913012,0,0.459135182078389,0.00186665744277732,0.3154343699261
532023.78694287,4983873.9525786,0.509345909417685,0,0.580101193667923,0.00186539081717939,0.317299760743279
530343.78694287,4985553.9525786,0.684399712437096,0,0.36074193261156,0.00186145900018347,0.319161219743463
531063.78694287,4983393.9525786,0.207404744787922,0,0.554258328237301,0.00186023855067535,0.321021458294138
532743.78694287,4982913.9525786,0.70848322070453,0.00174054761103634,0.460265657894169,0.00184024976830762,0.322861708062446
531303.78694287,4985313.9525786,0.653127361610352,0,0.482496256916908,0.00181821941199198,0.324679927474438
529863.78694287,4985313.9525786,0.635514018691589,0.000394305181695828,0.356879996579546,0.00179443774026378,0.326474365214702
528663.78694287,4984593.9525786,0.694464414090582,0,0.293889311433535,0.00177640111235074,0.328250766327052
531543.78694287,4984593.9525786,0.598130841121495,0.00726081931359354,0.578719283085344,0.00176912727805161,0.330019893605104
529383.78694287,4984833.9525786,0.594176966211359,0.00157722072678331,0.350855486200703,0.00176625109271147,0.331786144697815
531783.78694287,4982193.9525786,0.532710280373832,0.00292346315612382,0.424985162995235,0.00176456227657977,0.333550706974395
531063.78694287,4982673.9525786,0.546369518332135,0.0199757991251682,0.466810414655548,0.00176064094407989,0.335311347918475
532023.78694287,4985073.9525786,0.681883652048886,0,0.51110490478232,0.00174894966507071,0.337060297583546
530823.78694287,4983153.9525786,0.340762041696621,0.0148482923956931,0.506570841647482,0.00173432843389152,0.338794626017437
528663.78694287,4984113.9525786,0.667505506829619,0.00348109438088829,0.319535069266160,0.00172641635762724,0.340521042375064
532263.78694287,4982913.9525786,0.508627002156722,0,0.504707243243328,0.00172201672753247,0.342243059102597
532503.78694287,4983873.9525786,0.592379583033789,0,0.540247410241515,0.00171800905688441,0.343961068159481
531303.78694287,4983393.9525786,0.222861250898634,0,0.566642569200457,0.00171294131751825,0.345674009477
532023.78694287,4984593.9525786,0.578001437814522,0.000394305181695828,0.565219471955609,0.00171256043366735,0.347386569910667
530823.78694287,4985793.9525786,0.701294148094896,0,0.350689052859747,0.00170599939570256,0.349092569306370
529143.78694287,4985553.9525786,0.752336563623293,0,0.240129851739783,0.00170173263057361,0.350794301936943
528903.78694287,4985553.9525786,0.79475209202013,0,0.214377440064581,0.00170052762247543,0.352494829559419
529143.78694287,4983393.9525786,0.427030913012221,0,0.361823062883404,0.00169785194713198,0.354192681506550
528903.78694287,4984113.9525786,0.541696736161035,0,0.346376417066341,0.00169512406478378,0.355887805571334
530103.78694287,4982193.9525786,0.374910251617541,0.00236583109017497,0.318526427519908,0.00168280461516949,0.357570610186504
528903.78694287,4983393.9525786,0.487059784327822,0,0.338383341132649,0.00167363860599886,0.359244248792503
531783.78694287,4981953.9525786,0.502875744069015,0,0.385120318008103,0.00166624722598903,0.360910496018492
531543.78694287,4985073.9525786,0.567577397555715,0,0.516039459175976,0.00166181871001825,0.36257231472851
533463.78694287,4983873.9525786,0.850107951114306,0,0.421286208469625,0.00166032154699582,0.364232636275506
533223.78694287,4983873.9525786,0.777857656362329,0,0.45282773894246,0.00165862934193712,0.365891265617443
529383.78694287,4982913.9525786,0.356578001437815,0,0.342061702327125,0.00165282081219032,0.367544086429633
