x	y	d2et	slope	elevm
596739.999	5131937.454	22	31	1338
596764.999	5131937.454	0	33	1351
596789.999	5131937.454	10	25	1364
596814.999	5131937.454	22	11	1368
596839.999	5131937.454	10	26	1358
596864.999	5131937.454	20	32	1342
596889.999	5131937.454	28	32	1327
596914.999	5131937.454	20	33	1311
596939.999	5131937.454	0	33	1294
596964.999	5131937.454	30	30	1279
596989.999	5131937.454	20	31	1265
597014.999	5131937.454	0	36	1248
597039.999	5131937.454	0	35	1226
597064.999	5131937.454	20	30	1211
597089.999	5131937.454	0	32	1197
597114.999	5131937.454	10	32	1180
597139.999	5131937.454	0	36	1185
597164.999	5131937.454	0	37	1178
597189.999	5131937.454	10	37	1167
597214.999	5131937.454	10	37	1157
597239.999	5131937.454	0	39	1148
597264.999	5131937.454	0	39	1135
597289.999	5131937.454	0	40	1124
597314.999	5131937.454	0	39	1111
597339.999	5131937.454	10	38	1099
597364.999	5131937.454	10	36	1090
597389.999	5131937.454	0	35	1079
597414.999	5131937.454	0	35	1068
597439.999	5131937.454	10	31	1055
597464.999	5131937.454	28	25	1046
597489.999	5131937.454	22	25	1040
597514.999	5131937.454	10	28	1030
597539.999	5131937.454	0	32	1020
597564.999	5131937.454	0	35	1007
597589.999	5131937.454	0	37	995
597614.999	5131937.454	0	37	981
597639.999	5131937.454	10	35	969
597664.999	5131937.454	20	32	957
597689.999	5131937.454	36	30	948
597714.999	5131937.454	50	30	938
597739.999	5131937.454	41	29	928
597764.999	5131937.454	32	25	918
597789.999	5131937.454	30	20	909
597814.999	5131937.454	22	12	899
597839.999	5131937.454	10	20	897
597864.999	5131937.454	10	33	905
597889.999	5131937.454	0	38	911
597914.999	5131937.454	0	39	917
597939.999	5131937.454	0	38	923
597964.999	5131937.454	14	36	927
597989.999	5131937.454	20	34	928
598014.999	5131937.454	30	33	926
598039.999	5131937.454	30	32	924
598064.999	5131937.454	30	30	922
598089.999	5131937.454	36	24	922
598114.999	5131937.454	57	21	922
598139.999	5131937.454	72	21	922
598164.999	5131937.454	98	23	921
598189.999	5131937.454	113	25	918
598214.999	5131937.454	136	25	914
598239.999	5131937.454	151	25	908
598264.999	5131937.454	149	25	901
598289.999	5131937.454	136	26	898
598314.999	5131937.454	121	26	894
598339.999	5131937.454	114	26	889
598364.999	5131937.454	110	23	882
598389.999	5131937.454	112	18	876
598414.999	5131937.454	92	15	872
598439.999	5131937.454	78	15	867
598464.999	5131937.454	57	15	863
598489.999	5131937.454	45	17	859
598514.999	5131937.454	22	25	854
598539.999	5131937.454	10	32	841
598564.999	5131937.454	10	32	827
598589.999	5131937.454	22	31	815
598614.999	5131937.454	10	32	801
598639.999	5131937.454	22	31	787
598664.999	5131937.454	42	30	774
598689.999	5131937.454	58	29	760
598714.999	5131937.454	72	29	748
598739.999	5131937.454	63	28	734
598764.999	5131937.454	61	26	724
598789.999	5131937.454	67	23	712
598814.999	5131937.454	85	12	705
598839.999	5131937.454	100	6	703
598864.999	5131937.454	125	7	700
598889.999	5131937.454	143	6	698
598914.999	5131937.454	171	5	696
598939.999	5131937.454	190	4	694
598964.999	5131937.454	218	3	693
598989.999	5131937.454	238	3	693
599014.999	5131937.454	267	3	692
599039.999	5131937.454	266	4	691
599064.999	5131937.454	257	4	689
599089.999	5131937.454	253	4	688
599114.999	5131937.454	250	5	686
599139.999	5131937.454	250	4	684
