x	y	d2et	slope	elevm
606449.891	5152224.420	54	31	1001
606474.891	5152224.420	67	31	1014
606499.891	5152224.420	78	29	1026
606524.891	5152224.420	99	24	1036
606549.891	5152224.420	114	21	1042
606574.891	5152224.420	139	18	1047
606599.891	5152224.420	157	16	1049
606624.891	5152224.420	136	15	1050
606649.891	5152224.420	120	15	1049
606674.891	5152224.420	98	16	1046
606699.891	5152224.420	81	18	1042
606724.891	5152224.420	57	22	1035
606749.891	5152224.420	41	24	1025
606774.891	5152224.420	14	23	1016
606799.891	5152224.420	0	29	1019
606824.891	5152224.420	10	30	1021
606849.891	5152224.420	20	29	1021
606874.891	5152224.420	20	32	1015
606899.891	5152224.420	10	35	1008
606924.891	5152224.420	0	36	999
606949.891	5152224.420	0	38	989
606974.891	5152224.420	0	41	980
606999.891	5152224.420	0	44	964
607024.891	5152224.420	0	44	949
607049.891	5152224.420	0	42	932
607074.891	5152224.420	0	40	920
607099.891	5152224.420	0	39	906
607124.891	5152224.420	0	39	893
607149.891	5152224.420	0	37	879
607174.891	5152224.420	10	38	867
607199.891	5152224.420	0	41	856
607224.891	5152224.420	0	43	838
607249.891	5152224.420	0	42	822
607274.891	5152224.420	0	40	806
607299.891	5152224.420	14	32	790
607324.891	5152224.420	14	28	785
607349.891	5152224.420	0	33	775
607374.891	5152224.420	0	38	760
607399.891	5152224.420	0	38	745
607424.891	5152224.420	14	34	727
607449.891	5152224.420	0	31	715
607474.891	5152224.420	20	27	696
607499.891	5152224.420	40	21	689
607524.891	5152224.420	64	14	682
607549.891	5152224.420	78	5	682
607574.891	5152224.420	103	9	685
607599.891	5152224.420	121	10	690
607624.891	5152224.420	143	8	695
607649.891	5152224.420	149	6	697
607674.891	5152224.420	161	8	700
607699.891	5152224.420	172	8	704
607724.891	5152224.420	164	7	706
607749.891	5152224.420	153	7	709
607774.891	5152224.420	139	6	711
607799.891	5152224.420	133	7	712
607824.891	5152224.420	130	9	715
607849.891	5152224.420	126	11	717
607874.891	5152224.420	120	11	720
607899.891	5152224.420	114	10	721
607924.891	5152224.420	92	9	719
607949.891	5152224.420	78	8	719
607974.891	5152224.420	57	8	720
607999.891	5152224.420	42	10	723
608024.891	5152224.420	22	17	727
608049.891	5152224.420	10	31	735
608074.891	5152224.420	0	40	751
608099.891	5152224.420	0	44	763
608124.891	5152224.420	0	44	773
608149.891	5152224.420	0	41	780
608174.891	5152224.420	0	39	785
608199.891	5152224.420	0	38	787
608224.891	5152224.420	0	37	783
608249.891	5152224.420	0	32	776
608274.891	5152224.420	14	18	769
608299.891	5152224.420	14	21	778
608324.891	5152224.420	0	34	791
608349.891	5152224.420	10	35	809
608374.891	5152224.420	28	32	821
608399.891	5152224.420	22	32	831
608424.891	5152224.420	14	32	839
608449.891	5152224.420	14	31	847
608474.891	5152224.420	0	36	867
608499.891	5152224.420	0	38	884
608524.891	5152224.420	0	37	898
608549.891	5152224.420	0	35	912
608574.891	5152224.420	0	34	918
608599.891	5152224.420	0	31	920
608624.891	5152224.420	14	29	936
608649.891	5152224.420	10	30	951
608674.891	5152224.420	10	33	967
608699.891	5152224.420	22	31	980
608724.891	5152224.420	42	29	990
608749.891	5152224.420	58	29	999
608774.891	5152224.420	45	30	1007
608799.891	5152224.420	40	32	1018
608824.891	5152224.420	50	31	1029
608849.891	5152224.420	64	31	1038
608874.891	5152224.420	70	31	1048
608899.891	5152224.420	70	30	1056
608924.891	5152224.420	61	31	1063
608949.891	5152224.420	50	32	1072
608974.891	5152224.420	40	32	1081
608999.891	5152224.420	32	32	1090
604099.891	5152199.420	20	32	1459
604124.891	5152199.420	10	32	1443
604149.891	5152199.420	10	32	1436
